--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage             # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
  bin.811        f__Lachnospiraceae (UID1286)          57         420           207         18   399   3    0    0    0       96.28            0.60               0.00          
  bin.40          o__Clostridiales (UID1226)          155         278           158         8    266   4    0    0    0       96.20            1.90              25.00          
  bin.120           k__Bacteria (UID2372)             131         177           106         8    168   1    0    0    0       96.15            0.94               0.00          
  bin.1011       o__Lactobacillales (UID544)          293         475           267         17   457   1    0    0    0       96.15            0.37              100.00         
  bin.511         o__Clostridiales (UID1212)          172         263           149         11   250   1    1    0    0       96.03            2.01              50.00          
  bin.789         o__Clostridiales (UID1212)          172         263           149         8    251   4    0    0    0       95.97            1.68              25.00          
  bin.440         o__Clostridiales (UID1212)          172         263           149         6    257   0    0    0    0       95.97            0.00               0.00          
  bin.167         o__Clostridiales (UID1212)          172         263           149         7    250   6    0    0    0       95.97            2.18              50.00          
  bin.473         o__Clostridiales (UID1226)          155         278           158         40   237   1    0    0    0       95.95            0.32              100.00         
  bin.306        o__Lactobacillales (UID355)          490         336           184         9    326   1    0    0    0       95.92            0.54              100.00         
  bin.461         o__Clostridiales (UID1226)          155         278           158         9    265   4    0    0    0       95.89            2.22              50.00          
  bin.812         o__Clostridiales (UID1212)          172         257           149         35   221   1    0    0    0       95.85            0.17              100.00         
  bin.892         o__Clostridiales (UID1212)          172         263           149         14   249   0    0    0    0       95.81            0.00               0.00          
  bin.491         o__Clostridiales (UID1212)          172         263           149         8    253   2    0    0    0       95.81            1.34               0.00          
  bin.738        o__Lactobacillales (UID355)          490         336           184         14   321   1    0    0    0       95.74            0.54              100.00         
  bin.1052           c__Bacilli (UID284)              725         279           151         15   249   14   1    0    0       95.73            7.06              88.24          
  bin.285         o__Clostridiales (UID1212)          172         261           147         8    250   3    0    0    0       95.69            2.04              100.00         
  bin.696         o__Clostridiales (UID1212)          172         263           149         10   253   0    0    0    0       95.64            0.00               0.00          
  bin.880          c__Clostridia (UID1118)            387         223           124         9    213   1    0    0    0       95.56            0.03               0.00          
  bin.686          c__Clostridia (UID1118)            387         223           124         9    213   1    0    0    0       95.56            0.03               0.00          
  bin.623           k__Bacteria (UID2495)             2993        142            88         4    138   0    0    0    0       95.45            0.00               0.00          
  bin.1006        o__Clostridiales (UID1120)          304         250           143         8    241   1    0    0    0       95.45            0.70               0.00          
  bin.1004        o__Clostridiales (UID1212)          172         263           149         33   230   0    0    0    0       95.43            0.00               0.00          
  bin.783         o__Clostridiales (UID1212)          172         257           149         23   233   1    0    0    0       95.31            0.22               0.00          
  bin.384         o__Clostridiales (UID1212)          172         263           149         8    253   2    0    0    0       95.30            1.34               0.00          
  bin.884           k__Bacteria (UID2372)             131         177           106         6    168   3    0    0    0       95.28            1.55              33.33          
  bin.818         o__Clostridiales (UID1120)          304         250           143         9    239   2    0    0    0       95.10            1.05               0.00          
  bin.467         o__Clostridiales (UID1212)          172         263           149         10   251   2    0    0    0       95.08            1.01              50.00          
  bin.560         o__Clostridiales (UID1212)          172         261           147         37   224   0    0    0    0       95.00            0.00               0.00          
  bin.362         o__Clostridiales (UID1212)          172         263           149         10   253   0    0    0    0       94.97            0.00               0.00          
  bin.72            k__Bacteria (UID2329)             174         149            89         5    143   1    0    0    0       94.94            0.56               0.00          
  bin.716           k__Bacteria (UID2329)             174         149            89         5    144   0    0    0    0       94.94            0.00               0.00          
  bin.962         o__Clostridiales (UID1226)          155         278           158         11   266   1    0    0    0       94.90            0.63              100.00         
  bin.786            k__Bacteria (UID203)             5449        104            58         3     11   25   27   23   15      94.83           192.11              1.83          
  bin.1026       f__Lachnospiraceae (UID1255)          90         354           174         44   300   10   0    0    0       94.77            3.09              60.00          
  bin.406          c__Clostridia (UID1118)            387         223           124         9    214   0    0    0    0       94.76            0.00               0.00          
  bin.338          c__Clostridia (UID1118)            387         223           124         9    211   3    0    0    0       94.76            2.42              33.33          
  bin.314            k__Bacteria (UID203)             5449        103            57         3     53   23   15   6    3       94.74           81.35               3.73          
  bin.737         o__Clostridiales (UID1212)          172         257           149         9    247   1    0    0    0       94.63            0.22              100.00         
  bin.436         o__Clostridiales (UID1212)          172         263           149         11   252   0    0    0    0       94.63            0.00               0.00          
  bin.364         o__Clostridiales (UID1212)          172         263           149         9    254   0    0    0    0       94.63            0.00               0.00          
  bin.261         o__Clostridiales (UID1226)          155         278           158         12   265   1    0    0    0       94.62            0.02               0.00          
  bin.135         o__Clostridiales (UID1212)          172         261           147         34   226   1    0    0    0       94.55            0.17              100.00         
  bin.313         o__Clostridiales (UID1212)          172         263           149         10   253   0    0    0    0       94.52            0.00               0.00          
  bin.567         o__Clostridiales (UID1212)          172         263           149         10   252   1    0    0    0       94.41            0.67               0.00          
  bin.273           k__Bacteria (UID2329)             174         149            89         6    142   1    0    0    0       94.38            1.12               0.00          
  bin.729        f__Lachnospiraceae (UID1255)          90         354           174         46   300   8    0    0    0       94.30            1.56              87.50          
  bin.545         o__Clostridiales (UID1212)          172         263           149         45   216   2    0    0    0       94.30            1.34               0.00          
  bin.249         o__Clostridiales (UID1226)          155         278           158         26   243   9    0    0    0       94.26            3.53              33.33          
  bin.468        o__Lactobacillales (UID374)          471         350           191         13   333   4    0    0    0       94.24            2.09              25.00          
  bin.565         o__Clostridiales (UID1212)          172         263           149         11   250   2    0    0    0       94.24            1.34              50.00          
  bin.158         g__Lactobacillus (UID377)            91         430           154         14   396   20   0    0    0       94.22            4.50              75.00          
  bin.797         o__Clostridiales (UID1212)          172         263           149         11   251   1    0    0    0       94.18            0.22               0.00          
  bin.102         o__Clostridiales (UID1212)          172         263           149         13   248   2    0    0    0       94.18            0.67               0.00          
  bin.1037          k__Bacteria (UID2372)             131         177           106         9    160   8    0    0    0       94.10            3.77              75.00          
  bin.262         o__Clostridiales (UID1212)          172         263           149         26   236   1    0    0    0       94.09            0.67               0.00          
  bin.393           k__Bacteria (UID1453)             901         171           117         8    160   3    0    0    0       94.02            1.42               0.00          
  bin.984         o__Clostridiales (UID1212)          172         263           149         9    254   0    0    0    0       93.96            0.00               0.00          
  bin.796         o__Clostridiales (UID1212)          172         263           149         13   250   0    0    0    0       93.96            0.00               0.00          
  bin.754         o__Clostridiales (UID1212)          172         263           149         11   249   3    0    0    0       93.96            1.57              66.67          
  bin.987           k__Bacteria (UID2329)             174         149            89         6    136   6    0    1    0       93.82           10.11               0.00          
  bin.425           k__Bacteria (UID2329)             174         149            89         13   135   1    0    0    0       93.76            0.56              100.00         
  bin.389         o__Clostridiales (UID1212)          172         263           149         18   243   2    0    0    0       93.74            1.34               0.00          
  bin.363         o__Clostridiales (UID1212)          172         263           149         18   244   1    0    0    0       93.74            0.67               0.00          
  bin.231         o__Clostridiales (UID1212)          172         261           147         12   246   3    0    0    0       93.65            1.59              66.67          
  bin.413         o__Clostridiales (UID1212)          172         261           147         27   230   4    0    0    0       93.60            1.64              100.00         
  bin.54           c__Clostridia (UID1118)            387         223           124         11   211   1    0    0    0       93.55            0.81               0.00          
  bin.411           k__Bacteria (UID2328)             3167        126            75         29    97   0    0    0    0       93.44            0.00               0.00          
  bin.451         o__Clostridiales (UID1212)          172         257           149         19   219   19   0    0    0       93.36            5.60              10.53          
  bin.982         o__Clostridiales (UID1212)          172         263           149         11   252   0    0    0    0       93.29            0.00               0.00          
  bin.279         g__Lactobacillus (UID377)            91         430           154         21   407   2    0    0    0       93.19            0.24              100.00         
  bin.84            k__Bacteria (UID1453)             901         171           117         9    159   3    0    0    0       93.16            1.42               0.00          
  bin.129           k__Bacteria (UID1453)             901         171           117         9    159   3    0    0    0       93.16            1.42               0.00          
  bin.549          c__Clostridia (UID1118)            387         223           124         13   209   1    0    0    0       92.94            0.03               0.00          
  bin.423          c__Clostridia (UID1118)            387         223           124         12   209   1    1    0    0       92.92            0.86               0.00          
  bin.768         o__Clostridiales (UID1212)          172         263           149         50   213   0    0    0    0       92.86            0.00               0.00          
  bin.141         o__Clostridiales (UID1212)          172         263           149         23   240   0    0    0    0       92.74            0.00               0.00          
  bin.399         o__Clostridiales (UID1212)          172         261           147         37   217   7    0    0    0       92.73            3.74              71.43          
  bin.821         o__Clostridiales (UID1212)          172         263           149         17   246   0    0    0    0       92.71            0.00               0.00          
  bin.287           k__Bacteria (UID2329)             174         149            89         7    135   7    0    0    0       92.70            7.30               0.00          
  bin.810         o__Clostridiales (UID1212)          172         263           149         15   245   3    0    0    0       92.62            1.03              33.33          
  bin.756         o__Clostridiales (UID1226)          155         278           158         18   258   2    0    0    0       92.56            1.27              50.00          
  bin.557         g__Lactobacillus (UID380)            58         449           129         33   414   2    0    0    0       92.48            0.85               0.00          
  bin.335         o__Clostridiales (UID1226)          155         278           158         24   252   2    0    0    0       92.43            0.47              50.00          
  bin.1049          k__Bacteria (UID2329)             174         149            89         8    139   2    0    0    0       92.42            2.25               0.00          
  bin.919         o__Clostridiales (UID1212)          172         263           149         38   225   0    0    0    0       92.38            0.00               0.00          
  bin.732         o__Clostridiales (UID1212)          172         263           149         31   231   1    0    0    0       92.37            0.67               0.00          
  bin.787           k__Bacteria (UID1453)             901         171           117         10   158   3    0    0    0       92.31            1.42               0.00          
  bin.311           k__Bacteria (UID1453)             901         171           117         10   159   2    0    0    0       92.31            1.14               0.00          
  bin.216          c__Clostridia (UID1118)            387         223           124         16   204   3    0    0    0       92.26            0.91              66.67          
  bin.1044     f__Bifidobacteriaceae (UID1458)         77         464           220         36   421   7    0    0    0       92.24            2.10              71.43          
  bin.698           k__Bacteria (UID2329)             174         149            89         9    140   0    0    0    0       92.13            0.00               0.00          
  bin.569           k__Bacteria (UID2329)             174         149            89         9    138   2    0    0    0       92.13            2.25              50.00          
  bin.508           k__Bacteria (UID2329)             174         149            89         8    139   1    1    0    0       92.13            2.81               0.00          
  bin.25            k__Bacteria (UID2329)             174         149            89         7    140   2    0    0    0       92.13            2.25              50.00          
  bin.1022       f__Lachnospiraceae (UID1256)          33         333           171         37   292   3    1    0    0       92.04            2.63              16.67          
  bin.558          c__Clostridia (UID1118)            387         223           124         16   206   1    0    0    0       91.87            0.81               0.00          
  bin.408         o__Clostridiales (UID1212)          172         263           149         22   239   2    0    0    0       91.82            0.89               0.00          
  bin.735        f__Lachnospiraceae (UID1256)          33         333           171         37   294   1    1    0    0       91.77            1.75               0.00          
  bin.828           k__Bacteria (UID2329)             174         149            89         9    132   6    2    0    0       91.76            9.04               8.33          
  bin.671         o__Clostridiales (UID1212)          172         263           149         53   205   5    0    0    0       91.67            2.91              20.00          
  bin.492         o__Clostridiales (UID1212)          172         263           149         16   246   1    0    0    0       91.61            0.02               0.00          
  bin.1023          k__Bacteria (UID1453)             901         171           117         20   146   3    1    1    0       91.58            3.13               8.33          
  bin.924           k__Bacteria (UID2329)             174         149            89         8    137   4    0    0    0       91.57            3.93               0.00          
  bin.1042          k__Bacteria (UID2329)             174         149            89         8    140   1    0    0    0       91.57            0.56              100.00         
  bin.999          c__Clostridia (UID1118)            387         223           124         18   203   2    0    0    0       91.51            0.43               0.00          
  bin.980        f__Lachnospiraceae (UID1255)          90         354           174         33   316   5    0    0    0       91.50            1.58               0.00          
  bin.456          c__Clostridia (UID1118)            387         223           124         23   196   4    0    0    0       91.48            1.71              50.00          
  bin.493        f__Lachnospiraceae (UID1256)          33         333           171         42   287   4    0    0    0       91.40            2.34              25.00          
  bin.801            k__Bacteria (UID203)             5449        104            58         29    55   20   0    0    0       91.38           14.08              80.00          
  bin.481         o__Clostridiales (UID1120)          304         247           141         22   225   0    0    0    0       91.37            0.00               0.00          
  bin.446         o__Clostridiales (UID1212)          172         263           149         48   210   5    0    0    0       91.28            2.68              100.00         
  bin.1038           k__Bacteria (UID203)             5449        103            57         6     77   16   4    0    0       91.23           17.86               0.00          
  bin.316         o__Clostridiales (UID1212)          172         261           147         44   215   2    0    0    0       91.17            0.48              50.00          
  bin.130           k__Bacteria (UID2329)             174         149            89         34   101   14   0    0    0       91.15           10.39              64.29          
  bin.303        f__Lachnospiraceae (UID1256)          33         333           171         27   304   2    0    0    0       91.01            0.41              50.00          
  bin.620         o__Clostridiales (UID1375)           50         332           124         25   300   7    0    0    0       90.87            2.07              28.57          
  bin.501         o__Clostridiales (UID1226)          155         278           158         54   221   3    0    0    0       90.85            1.27              33.33          
  bin.726            c__Bacilli (UID285)              586         324           180         21   299   4    0    0    0       90.83            1.53              50.00          
  bin.728         o__Clostridiales (UID1212)          172         263           149         30   233   0    0    0    0       90.77            0.00               0.00          
  bin.1056        o__Clostridiales (UID1212)          172         263           149         58   203   2    0    0    0       90.74            0.78              50.00          
  bin.417           k__Bacteria (UID2328)             3167        126            75         11   114   1    0    0    0       90.67            0.11               0.00          
  bin.1048          k__Bacteria (UID2329)             174         149            89         15   133   1    0    0    0       90.65            1.12               0.00          
  bin.998         o__Clostridiales (UID1226)          155         278           158         51   226   0    1    0    0       90.62            1.27               0.00          
  bin.1031        o__Clostridiales (UID1212)          172         263           149         51   209   3    0    0    0       90.60            2.01               0.00          
  bin.883           k__Bacteria (UID2329)             174         149            89         9    138   2    0    0    0       90.45            2.25              50.00          
  bin.47            k__Bacteria (UID2329)             174         149            89         9    139   1    0    0    0       90.45            1.12               0.00          
  bin.235        f__Lachnospiraceae (UID1256)          33         333           171         20   309   4    0    0    0       90.45            1.56              25.00          
  bin.50            k__Bacteria (UID1453)             901         171           117         14   156   1    0    0    0       90.35            0.85               0.00          
  bin.233          c__Clostridia (UID1118)            387         223           124         20   202   1    0    0    0       90.32            0.03               0.00          
  bin.1062        o__Clostridiales (UID1212)          172         263           149         19   242   2    0    0    0       90.27            0.81              100.00         
  bin.382         o__Clostridiales (UID1212)          172         263           149         54   204   5    0    0    0       90.15            2.13              80.00          
  bin.208           k__Bacteria (UID1453)             901         171           117         14   155   2    0    0    0       90.03            1.71               0.00          
  bin.680         o__Clostridiales (UID1212)          172         263           149         48   214   1    0    0    0       90.02            0.67               0.00          
  bin.830         o__Clostridiales (UID1212)          172         261           147         49   211   1    0    0    0       89.98            0.34              100.00         
  bin.365          c__Clostridia (UID1118)            387         223           124         49   174   0    0    0    0       89.95            0.00               0.00          
  bin.530         o__Clostridiales (UID1212)          172         263           149         56   202   5    0    0    0       89.93            1.85              60.00          
  bin.528           k__Bacteria (UID2329)             174         149            89         12   135   2    0    0    0       89.89            2.25               0.00          
  bin.648         o__Clostridiales (UID1226)          155         278           158         31   247   0    0    0    0       89.87            0.00               0.00          
  bin.1066        o__Clostridiales (UID1212)          172         263           149         29   230   4    0    0    0       89.77            1.63              50.00          
  bin.495          c__Clostridia (UID1118)            387         223           124         27   194   2    0    0    0       89.66            1.21              100.00         
  bin.448           k__Bacteria (UID2329)             174         149            89         11   136   2    0    0    0       89.61            2.25               0.00          
  bin.1030       f__Lachnospiraceae (UID1286)          57         420           207         47   350   23   0    0    0       89.57            4.74              69.57          
  bin.816         o__Clostridiales (UID1226)          155         274           157         27   231   16   0    0    0       89.47            3.98              81.25          
  bin.615        o__Actinomycetales (UID1812)         229         457           227         47   407   3    0    0    0       89.45            0.70              100.00         
  bin.1033        o__Clostridiales (UID1212)          172         263           149         23   237   3    0    0    0       89.44            0.84              100.00         
  bin.808           k__Bacteria (UID2329)             174         149            89         10   130   9    0    0    0       89.33            8.03              11.11          
  bin.798           k__Bacteria (UID2329)             174         149            89         10   136   3    0    0    0       89.33            2.81               0.00          
  bin.873         o__Clostridiales (UID1212)          172         263           149         26   237   0    0    0    0       89.26            0.00               0.00          
  bin.641          c__Clostridia (UID1118)            387         223           124         20   201   2    0    0    0       89.25            1.21               0.00          
  bin.824         o__Clostridiales (UID1212)          172         257           149         37   219   1    0    0    0       89.16            0.22              100.00         
  bin.197         o__Clostridiales (UID1212)          172         261           147         35   223   3    0    0    0       89.12            1.59               0.00          
  bin.353        f__Lachnospiraceae (UID1256)          33         333           171         57   274   2    0    0    0       89.10            1.17              100.00         
  bin.340        f__Lachnospiraceae (UID1256)          33         333           171         61   268   4    0    0    0       89.03            1.66              25.00          
  bin.958           k__Bacteria (UID2495)             2993        147            91         10   137   0    0    0    0       89.01            0.00               0.00          
  bin.784           k__Bacteria (UID2329)             174         149            89         14   132   3    0    0    0       88.99            2.81               0.00          
  bin.722          c__Clostridia (UID1118)            387         223           124         26   195   2    0    0    0       88.93            0.81              50.00          
  bin.581         o__Clostridiales (UID1212)          172         263           149         20   177   61   5    0    0       88.93           27.47               2.63          
  bin.343         o__Clostridiales (UID1212)          172         263           149         20   243   0    0    0    0       88.93            0.00               0.00          
  bin.940         o__Clostridiales (UID1212)          172         263           149         53   209   1    0    0    0       88.90            0.34              100.00         
  bin.921        p__Actinobacteria (UID2112)           31         211           124         19   187   5    0    0    0       88.84            3.09              100.00         
  bin.524           k__Bacteria (UID2329)             174         149            89         14   134   1    0    0    0       88.67            1.12               0.00          
  bin.110         o__Clostridiales (UID1212)          172         263           149         19   244   0    0    0    0       88.59            0.00               0.00          
  bin.33            k__Bacteria (UID2329)             174         149            89         19   129   1    0    0    0       88.57            1.12               0.00          
  bin.678          c__Clostridia (UID1118)            387         223           124         24   195   3    1    0    0       88.51            2.07              16.67          
  bin.380         o__Clostridiales (UID1212)          172         257           149         61   195   1    0    0    0       88.45            0.67              100.00         
  bin.36            k__Bacteria (UID2329)             174         149            89         19   129   1    0    0    0       88.42            1.12               0.00          
  bin.707           k__Bacteria (UID2329)             174         149            89         30   118   1    0    0    0       88.37            1.12               0.00          
  bin.573         o__Clostridiales (UID1212)          172         263           149         57   205   1    0    0    0       88.29            0.67               0.00          
  bin.49          o__Clostridiales (UID1212)          172         263           149         30   216   17   0    0    0       88.26            6.83               0.00          
  bin.929        f__Lachnospiraceae (UID1256)          33         333           171         44   272   17   0    0    0       88.23            4.83              82.35          
  bin.1020        o__Clostridiales (UID1212)          172         263           149         24   232   7    0    0    0       88.14            1.62              42.86          
  bin.103         o__Clostridiales (UID1226)          155         278           158         32   246   0    0    0    0       87.97            0.00               0.00          
  bin.346          c__Clostridia (UID1118)            387         223           124         22   197   3    1    0    0       87.97            2.47              16.67          
  bin.499        f__Lachnospiraceae (UID1256)          33         333           171         62   267   4    0    0    0       87.93            1.85              25.00          
  bin.977         o__Clostridiales (UID1212)          172         263           149         36   227   0    0    0    0       87.92            0.00               0.00          
  bin.404          c__Clostridia (UID1118)            387         223           124         22   200   1    0    0    0       87.90            0.20              100.00         
  bin.891           k__Bacteria (UID2329)             174         149            89         29   119   1    0    0    0       87.85            1.12               0.00          
