
Bin_Id	Marker_lineage	#_genomes	#_markers	#_marker_sets	0	1	2	3	4	5+	Completeness	Contamination	Strain_heterogeneity
bin.133_new	f__Lachnospiraceae_(UID1256)	33	333	171	6	325	2	0	0	0	97.45	0.88	0.00
bin.916_new	o__Clostridiales_(UID1212)	172	263	149	4	258	1	0	0	0	97.32	0.67	0.00
bin.673_new	o__Clostridiales_(UID1212)	172	263	149	5	257	1	0	0	0	97.32	0.67	0.00
bin.564_new	o__Clostridiales_(UID1212)	172	263	149	5	258	0	0	0	0	97.32	0.00	0.00
bin.55_new	o__Clostridiales_(UID1212)	172	263	149	4	259	0	0	0	0	97.32	0.00	0.00
bin.419_new	o__Clostridiales_(UID1212)	172	263	149	4	259	0	0	0	0	97.32	0.00	0.00
bin.782_new	o__Clostridiales_(UID1212)	172	263	149	7	255	1	0	0	0	97.27	0.67	0.00
bin.371_new	o__Clostridiales_(UID1212)	172	257	149	7	247	3	0	0	0	97.18	0.78	100.00
bin.886_new	k__Bacteria_(UID2372)	131	177	106	3	173	1	0	0	0	97.17	0.94	100.00
bin.504_new	k__Bacteria_(UID2372)	131	177	106	4	171	2	0	0	0	97.04	1.08	50.00
bin.354_new	f__Lachnospiraceae_(UID1255)	90	354	174	6	347	1	0	0	0	96.84	0.57	0.00
bin.516_new	o__Clostridiales_(UID1120)	304	247	141	13	234	0	0	0	0	96.81	0.00	0.00
bin.876_new	f__Lachnospiraceae_(UID1256)	33	333	171	31	302	0	0	0	0	96.69	0.00	0.00
bin.147_new	o__Clostridiales_(UID1212)	172	263	149	7	256	0	0	0	0	96.64	0.00	0.00
bin.975_new	o__Clostridiales_(UID1212)	172	263	149	7	255	1	0	0	0	96.42	0.67	0.00
bin.190_new	o__Clostridiales_(UID1212)	172	263	149	8	254	1	0	0	0	96.38	0.06	100.00
bin.806_new	o__Clostridiales_(UID1226)	155	278	158	38	239	1	0	0	0	96.06	0.16	0.00
bin.440_new	o__Clostridiales_(UID1212)	172	263	149	6	257	0	0	0	0	95.97	0.00	0.00
bin.226_new	o__Clostridiales_(UID1212)	172	263	149	6	255	2	0	0	0	95.97	0.69	50.00
bin.769_new	p__Actinobacteria_(UID2112)	31	211	124	9	202	0	0	0	0	95.97	0.00	0.00
bin.892_new	o__Clostridiales_(UID1212)	172	263	149	14	249	0	0	0	0	95.81	0.00	0.00
bin.811_new	f__Lachnospiraceae_(UID1286)	57	420	207	19	398	3	0	0	0	95.79	0.60	0.00
bin.1012_new	o__Clostridiales_(UID1226)	155	278	158	16	260	2	0	0	0	95.79	0.79	100.00
bin.461_new	o__Clostridiales_(UID1226)	155	278	158	10	265	3	0	0	0	95.57	1.90	33.33
bin.623_new	k__Bacteria_(UID2495)	2993	142	88	4	138	0	0	0	0	95.45	0.00	0.00
bin.1006_new	o__Clostridiales_(UID1120)	304	250	143	8	242	0	0	0	0	95.45	0.00	0.00
bin.930_new	o__Clostridiales_(UID1226)	155	278	158	19	254	5	0	0	0	95.39	1.14	80.00
bin.306_new	o__Lactobacillales_(UID355)	490	336	184	10	325	1	0	0	0	95.38	0.54	100.00
bin.969_new	o__Clostridiales_(UID1212)	172	263	149	19	242	2	0	0	0	95.30	1.34	0.00
bin.384_new	o__Clostridiales_(UID1212)	172	263	149	8	253	2	0	0	0	95.30	1.34	0.00
bin.686_new	c__Clostridia_(UID1118)	387	223	124	10	212	1	0	0	0	95.16	0.03	0.00
bin.491_new	o__Clostridiales_(UID1212)	172	263	149	9	252	2	0	0	0	95.13	1.34	0.00
bin.473_new	o__Clostridiales_(UID1226)	155	278	158	43	235	0	0	0	0	95.00	0.00	0.00
bin.362_new	o__Clostridiales_(UID1212)	172	263	149	10	253	0	0	0	0	94.97	0.00	0.00
bin.716_new	k__Bacteria_(UID2329)	174	149	89	5	144	0	0	0	0	94.94	0.00	0.00
bin.40_new	o__Clostridiales_(UID1226)	155	278	158	12	262	4	0	0	0	94.94	1.90	25.00
bin.783_new	o__Clostridiales_(UID1212)	172	257	149	26	230	1	0	0	0	94.91	0.22	0.00
bin.962_new	o__Clostridiales_(UID1226)	155	278	158	11	266	1	0	0	0	94.90	0.63	100.00
bin.83_new	p__Actinobacteria_(UID2112)	31	211	124	7	203	1	0	0	0	94.89	0.12	100.00
bin.406_new	c__Clostridia_(UID1118)	387	223	124	9	214	0	0	0	0	94.76	0.00	0.00
bin.338_new	c__Clostridia_(UID1118)	387	223	124	9	211	3	0	0	0	94.76	2.42	33.33
bin.822_new	o__Lactobacillales_(UID544)	293	475	267	47	428	0	0	0	0	94.70	0.00	0.00
bin.511_new	o__Clostridiales_(UID1212)	172	263	149	15	247	0	1	0	0	94.69	1.34	33.33
bin.436_new	o__Clostridiales_(UID1212)	172	263	149	11	252	0	0	0	0	94.63	0.00	0.00
bin.167_new	o__Clostridiales_(UID1212)	172	263	149	9	251	3	0	0	0	94.63	1.68	0.00
bin.812_new	o__Clostridiales_(UID1212)	172	257	149	43	213	1	0	0	0	94.63	0.17	100.00
bin.459_new	o__Clostridiales_(UID1226)	155	278	158	25	252	1	0	0	0	94.62	0.16	0.00
bin.1011_new	o__Lactobacillales_(UID544)	293	475	267	24	450	1	0	0	0	94.52	0.37	100.00
bin.313_new	o__Clostridiales_(UID1212)	172	263	149	10	253	0	0	0	0	94.52	0.00	0.00
bin.875_new	o__Clostridiales_(UID1212)	172	263	149	9	254	0	0	0	0	94.41	0.00	0.00
bin.273_new	k__Bacteria_(UID2329)	174	149	89	6	142	1	0	0	0	94.38	1.12	0.00
bin.884_new	k__Bacteria_(UID2372)	131	177	106	7	167	3	0	0	0	94.34	1.55	33.33
bin.560_new	o__Clostridiales_(UID1212)	172	261	147	38	223	0	0	0	0	94.32	0.00	0.00
bin.468_new	o__Lactobacillales_(UID374)	471	350	191	13	333	4	0	0	0	94.24	2.09	25.00
bin.797_new	o__Clostridiales_(UID1212)	172	263	149	11	251	1	0	0	0	94.18	0.22	0.00
bin.102_new	o__Clostridiales_(UID1212)	172	263	149	13	248	2	0	0	0	94.18	0.67	0.00
bin.135_new	o__Clostridiales_(UID1212)	172	261	147	37	224	0	0	0	0	94.11	0.00	0.00
bin.393_new	k__Bacteria_(UID1453)	901	171	117	8	160	3	0	0	0	94.02	1.42	0.00
bin.922_new	o__Lactobacillales_(UID544)	293	475	267	22	449	4	0	0	0	94.01	0.66	25.00
bin.984_new	o__Clostridiales_(UID1212)	172	263	149	9	254	0	0	0	0	93.96	0.00	0.00
bin.796_new	o__Clostridiales_(UID1212)	172	263	149	13	250	0	0	0	0	93.96	0.00	0.00
bin.737_new	o__Clostridiales_(UID1212)	172	257	149	10	246	1	0	0	0	93.96	0.22	100.00
bin.568_new	o__Clostridiales_(UID1212)	172	263	149	11	248	4	0	0	0	93.96	1.57	75.00
bin.364_new	o__Clostridiales_(UID1212)	172	263	149	10	253	0	0	0	0	93.96	0.00	0.00
bin.880_new	c__Clostridia_(UID1118)	387	223	124	11	211	1	0	0	0	93.95	0.03	0.00
bin.72_new	k__Bacteria_(UID2329)	174	149	89	7	141	1	0	0	0	93.82	0.56	0.00
bin.425_new	k__Bacteria_(UID2329)	174	149	89	13	135	1	0	0	0	93.76	0.56	100.00
bin.389_new	o__Clostridiales_(UID1212)	172	263	149	18	243	2	0	0	0	93.74	1.34	0.00
bin.363_new	o__Clostridiales_(UID1212)	172	263	149	18	244	1	0	0	0	93.74	0.67	0.00
bin.1027_new	o__Clostridiales_(UID1212)	172	257	149	13	242	2	0	0	0	93.60	1.01	50.00
bin.413_new	o__Clostridiales_(UID1212)	172	261	147	27	230	4	0	0	0	93.60	1.64	100.00
bin.54_new	c__Clostridia_(UID1118)	387	223	124	11	211	1	0	0	0	93.55	0.81	0.00
bin.411_new	k__Bacteria_(UID2328)	3167	126	75	29	97	0	0	0	0	93.44	0.00	0.00
bin.261_new	o__Clostridiales_(UID1226)	155	278	158	14	263	1	0	0	0	93.35	0.02	0.00
bin.982_new	o__Clostridiales_(UID1212)	172	263	149	11	252	0	0	0	0	93.29	0.00	0.00
bin.285_new	o__Clostridiales_(UID1212)	172	261	147	16	245	0	0	0	0	93.27	0.00	0.00
bin.84_new	k__Bacteria_(UID1453)	901	171	117	9	159	3	0	0	0	93.16	1.42	0.00
bin.129_new	k__Bacteria_(UID1453)	901	171	117	9	159	3	0	0	0	93.16	1.42	0.00
bin.818_new	o__Clostridiales_(UID1120)	304	250	143	12	236	2	0	0	0	93.01	1.05	0.00
bin.423_new	c__Clostridia_(UID1118)	387	223	124	12	209	1	1	0	0	92.92	0.86	0.00
bin.768_new	o__Clostridiales_(UID1212)	172	263	149	50	213	0	0	0	0	92.86	0.00	0.00
bin.821_new	o__Clostridiales_(UID1212)	172	263	149	17	246	0	0	0	0	92.71	0.00	0.00
bin.742_new	o__Clostridiales_(UID1212)	172	263	149	16	245	2	0	0	0	92.60	0.89	50.00
bin.732_new	o__Clostridiales_(UID1212)	172	263	149	31	231	1	0	0	0	92.37	0.67	0.00
bin.787_new	k__Bacteria_(UID1453)	901	171	117	10	158	3	0	0	0	92.31	1.42	0.00
bin.311_new	k__Bacteria_(UID1453)	901	171	117	10	159	2	0	0	0	92.31	1.14	0.00
bin.545_new	o__Clostridiales_(UID1212)	172	263	149	51	210	2	0	0	0	92.17	1.34	0.00
bin.569_new	k__Bacteria_(UID2329)	174	149	89	9	139	1	0	0	0	92.13	1.12	0.00
bin.567_new	o__Clostridiales_(UID1212)	172	263	149	14	248	1	0	0	0	92.06	0.67	0.00
bin.729_new	f__Lachnospiraceae_(UID1255)	90	354	174	53	294	7	0	0	0	91.91	1.46	85.71
bin.279_new	g__Lactobacillus_(UID377)	91	430	154	24	404	2	0	0	0	91.89	0.24	100.00
bin.558_new	c__Clostridia_(UID1118)	387	223	124	16	206	1	0	0	0	91.87	0.81	0.00
bin.262_new	o__Clostridiales_(UID1212)	172	263	149	41	221	1	0	0	0	91.78	0.67	0.00
bin.492_new	o__Clostridiales_(UID1212)	172	263	149	16	246	1	0	0	0	91.61	0.02	0.00
bin.231_new	o__Clostridiales_(UID1212)	172	261	147	17	241	3	0	0	0	91.61	1.59	66.67
bin.1042_new	k__Bacteria_(UID2329)	174	149	89	8	141	0	0	0	0	91.57	0.00	0.00
bin.919_new	o__Clostridiales_(UID1212)	172	263	149	48	215	0	0	0	0	91.52	0.00	0.00
bin.999_new	c__Clostridia_(UID1118)	387	223	124	18	203	2	0	0	0	91.51	0.43	0.00
bin.980_new	f__Lachnospiraceae_(UID1255)	90	354	174	33	316	5	0	0	0	91.50	1.58	0.00
bin.120_new	k__Bacteria_(UID2372)	131	177	106	13	163	1	0	0	0	91.43	0.94	0.00
bin.549_new	c__Clostridia_(UID1118)	387	223	124	15	207	1	0	0	0	91.33	0.03	0.00
bin.789_new	o__Clostridiales_(UID1212)	172	263	149	15	245	3	0	0	0	91.28	1.01	0.00
bin.698_new	k__Bacteria_(UID2329)	174	149	89	10	139	0	0	0	0	91.01	0.00	0.00
bin.810_new	o__Clostridiales_(UID1212)	172	263	149	18	244	1	0	0	0	90.94	0.02	0.00
bin.1004_new	o__Clostridiales_(UID1212)	172	263	149	42	221	0	0	0	0	90.73	0.00	0.00
bin.417_new	k__Bacteria_(UID2328)	3167	126	75	11	114	1	0	0	0	90.67	0.11	0.00
bin.216_new	c__Clostridia_(UID1118)	387	223	124	19	202	2	0	0	0	90.65	0.10	50.00
bin.735_new	f__Lachnospiraceae_(UID1256)	33	333	171	40	291	1	1	0	0	90.60	1.75	0.00
bin.696_new	o__Clostridiales_(UID1212)	172	263	149	23	240	0	0	0	0	90.49	0.00	0.00
bin.408_new	o__Clostridiales_(UID1212)	172	263	149	24	237	2	0	0	0	90.48	0.89	0.00
bin.883_new	k__Bacteria_(UID2329)	174	149	89	9	140	0	0	0	0	90.45	0.00	0.00
bin.47_new	k__Bacteria_(UID2329)	174	149	89	9	139	1	0	0	0	90.45	1.12	0.00
bin.728_new	o__Clostridiales_(UID1212)	172	263	149	32	231	0	0	0	0	90.32	0.00	0.00
bin.233_new	c__Clostridia_(UID1118)	387	223	124	20	202	1	0	0	0	90.32	0.03	0.00
bin.998_new	o__Clostridiales_(UID1226)	155	278	158	53	224	0	1	0	0	90.20	1.27	0.00
bin.208_new	k__Bacteria_(UID1453)	901	171	117	14	155	2	0	0	0	90.03	1.71	0.00
bin.680_new	o__Clostridiales_(UID1212)	172	263	149	48	214	1	0	0	0	90.02	0.67	0.00
bin.365_new	c__Clostridia_(UID1118)	387	223	124	49	174	0	0	0	0	89.95	0.00	0.00
bin.528_new	k__Bacteria_(UID2329)	174	149	89	12	135	2	0	0	0	89.89	2.25	0.00
bin.648_new	o__Clostridiales_(UID1226)	155	278	158	31	247	0	0	0	0	89.87	0.00	0.00
bin.335_new	o__Clostridiales_(UID1226)	155	278	158	32	244	2	0	0	0	89.69	0.47	50.00
bin.830_new	o__Clostridiales_(UID1212)	172	261	147	51	209	1	0	0	0	89.47	0.34	100.00
bin.565_new	o__Clostridiales_(UID1212)	172	263	149	20	241	2	0	0	0	89.43	1.34	50.00
bin.557_new	g__Lactobacillus_(UID380)	58	449	129	52	396	1	0	0	0	89.37	0.78	0.00
bin.873_new	o__Clostridiales_(UID1212)	172	263	149	26	237	0	0	0	0	89.26	0.00	0.00
bin.738_new	o__Lactobacillales_(UID355)	490	336	184	30	306	0	0	0	0	89.22	0.00	0.00
bin.197_new	o__Clostridiales_(UID1212)	172	261	147	35	223	3	0	0	0	89.12	1.59	0.00
bin.754_new	o__Clostridiales_(UID1212)	172	263	149	20	240	3	0	0	0	89.09	1.57	66.67
bin.958_new	k__Bacteria_(UID2495)	2993	147	91	10	137	0	0	0	0	89.01	0.00	0.00
bin.280_new	o__Clostridiales_(UID1226)	155	278	158	26	251	1	0	0	0	89.01	0.63	100.00
bin.343_new	o__Clostridiales_(UID1212)	172	263	149	20	243	0	0	0	0	88.93	0.00	0.00
bin.50_new	k__Bacteria_(UID1453)	901	171	117	17	153	1	0	0	0	88.64	0.85	0.00
bin.283_new	o__Clostridiales_(UID1212)	172	263	149	24	221	18	0	0	0	88.59	0.51	77.78
bin.1031_new	o__Clostridiales_(UID1212)	172	263	149	59	201	3	0	0	0	88.59	2.01	0.00
bin.360_new	o__Clostridiales_(UID1212)	172	263	149	26	237	0	0	0	0	88.57	0.00	0.00
bin.756_new	o__Clostridiales_(UID1226)	155	278	158	27	250	1	0	0	0	88.55	0.63	0.00
bin.448_new	k__Bacteria_(UID2329)	174	149	89	12	135	2	0	0	0	88.48	2.25	0.00
bin.36_new	k__Bacteria_(UID2329)	174	149	89	19	129	1	0	0	0	88.42	1.12	0.00
bin.524_new	k__Bacteria_(UID2329)	174	149	89	20	128	1	0	0	0	88.37	1.12	0.00
bin.493_new	f__Lachnospiraceae_(UID1256)	33	333	171	59	271	3	0	0	0	88.35	1.75	0.00
bin.481_new	o__Clostridiales_(UID1120)	304	247	141	30	217	0	0	0	0	88.06	0.00	0.00
bin.103_new	o__Clostridiales_(UID1226)	155	278	158	32	246	0	0	0	0	87.97	0.00	0.00
bin.353_new	f__Lachnospiraceae_(UID1256)	33	333	171	60	273	0	0	0	0	87.93	0.00	0.00
bin.1049_new	k__Bacteria_(UID2329)	174	149	89	14	134	1	0	0	0	87.92	1.12	0.00
bin.977_new	o__Clostridiales_(UID1212)	172	263	149	36	227	0	0	0	0	87.92	0.00	0.00
bin.110_new	o__Clostridiales_(UID1212)	172	263	149	20	243	0	0	0	0	87.92	0.00	0.00
bin.340_new	f__Lachnospiraceae_(UID1256)	33	333	171	68	262	3	0	0	0	87.91	1.36	33.33
bin.908_new	o__Clostridiales_(UID1226)	155	278	158	39	239	0	0	0	0	87.66	0.00	0.00
bin.322_new	c__Clostridia_(UID1118)	387	223	124	51	171	1	0	0	0	87.53	0.03	0.00
bin.854_new	f__Lachnospiraceae_(UID1256)	33	333	171	45	286	2	0	0	0	87.52	0.88	0.00
bin.456_new	o__Clostridiales_(UID1212)	172	263	149	38	221	4	0	0	0	87.48	1.42	50.00
bin.316_new	o__Clostridiales_(UID1212)	172	261	147	56	203	2	0	0	0	87.46	0.48	50.00
bin.235_new	f__Lachnospiraceae_(UID1256)	33	333	171	32	298	3	0	0	0	87.41	0.97	0.00
bin.467_new	o__Clostridiales_(UID1212)	172	263	149	29	233	1	0	0	0	87.36	0.67	0.00
bin.1044_new	f__Bifidobacteriaceae_(UID1458)	77	464	220	52	409	3	0	0	0	87.24	0.64	66.67
bin.51_new	o__Clostridiales_(UID1226)	155	278	158	33	236	9	0	0	0	87.14	0.18	100.00
bin.499_new	f__Lachnospiraceae_(UID1256)	33	333	171	67	263	3	0	0	0	87.06	1.75	0.00
bin.891_new	k__Bacteria_(UID2329)	174	149	89	30	119	0	0	0	0	86.72	0.00	0.00
bin.1062_new	o__Clostridiales_(UID1212)	172	263	149	28	233	2	0	0	0	86.58	0.81	100.00
bin.940_new	o__Clostridiales_(UID1212)	172	263	149	57	206	0	0	0	0	86.55	0.00	0.00
bin.1025_new	o__Clostridiales_(UID1212)	172	263	149	41	221	1	0	0	0	86.47	0.17	100.00
bin.346_new	c__Clostridia_(UID1118)	387	223	124	24	195	3	1	0	0	86.36	2.47	16.67
bin.587_new	o__Clostridiales_(UID1212)	172	263	149	32	230	1	0	0	0	85.91	0.67	0.00
bin.48_new	o__Clostridiales_(UID1120)	304	250	143	29	218	2	1	0	0	85.64	1.44	0.00
bin.530_new	o__Clostridiales_(UID1212)	172	263	149	63	196	4	0	0	0	85.57	1.51	75.00
bin.615_new	o__Actinomycetales_(UID1812)	229	457	227	64	390	3	0	0	0	85.26	0.70	100.00
bin.1066_new	o__Clostridiales_(UID1212)	172	263	149	39	220	4	0	0	0	85.18	1.63	50.00
bin.41_new	c__Clostridia_(UID1118)	387	223	124	23	200	0	0	0	0	84.68	0.00	0.00
bin.989_new	c__Clostridia_(UID1118)	387	223	124	26	196	1	0	0	0	84.27	0.03	0.00
bin.25_new	k__Bacteria_(UID2329)	174	149	89	14	133	2	0	0	0	84.27	2.25	50.00
bin.991_new	o__Clostridiales_(UID1212)	172	263	149	43	219	1	0	0	0	84.23	0.34	0.00
bin.209_new	f__Lachnospiraceae_(UID1256)	33	333	171	47	286	0	0	0	0	84.18	0.00	0.00
bin.726_new	c__Bacilli_(UID285)	586	324	180	37	285	2	0	0	0	84.17	1.11	100.00
bin.424_new	f__Lachnospiraceae_(UID1256)	33	333	171	84	248	1	0	0	0	84.00	0.58	0.00
bin.303_new	f__Lachnospiraceae_(UID1256)	33	333	171	44	288	1	0	0	0	84.00	0.29	0.00
bin.175_new	g__Lactobacillus_(UID377)	91	430	154	80	350	0	0	0	0	83.94	0.00	0.00
bin.882_new	p__Actinobacteria_(UID2112)	31	211	124	44	165	2	0	0	0	83.78	1.61	0.00
bin.707_new	k__Bacteria_(UID2329)	174	149	89	39	109	1	0	0	0	83.68	1.12	0.00
bin.580_new	k__Bacteria_(UID2329)	174	149	89	43	104	2	0	0	0	83.63	1.69	50.00
bin.1033_new	o__Clostridiales_(UID1212)	172	263	149	36	224	3	0	0	0	83.56	0.84	100.00
bin.678_new	c__Clostridia_(UID1118)	387	223	124	35	184	3	1	0	0	83.27	2.07	16.67
bin.1056_new	o__Clostridiales_(UID1212)	172	263	149	72	190	1	0	0	0	83.24	0.67	0.00
bin.127_new	o__Clostridiales_(UID1212)	172	261	147	73	187	1	0	0	0	83.13	0.68	0.00
bin.33_new	k__Bacteria_(UID2329)	174	149	89	25	123	1	0	0	0	82.95	1.12	0.00
bin.332_new	o__Clostridiales_(UID1212)	172	261	147	54	207	0	0	0	0	82.91	0.00	0.00
bin.141_new	o__Clostridiales_(UID1212)	172	263	149	43	220	0	0	0	0	82.84	0.00	0.00
bin.925_new	k__Bacteria_(UID203)	5449	104	58	34	70	0	0	0	0	82.76	0.00	0.00
bin.1048_new	k__Bacteria_(UID2329)	174	149	89	46	102	1	0	0	0	82.70	1.12	0.00
bin.43_new	o__Clostridiales_(UID1120)	304	250	143	50	200	0	0	0	0	82.63	0.00	0.00
bin.205_new	o__Clostridiales_(UID1226)	155	278	158	66	210	2	0	0	0	82.52	0.63	0.00
bin.1036_new	k__Bacteria_(UID2329)	174	149	89	20	128	1	0	0	0	82.47	1.12	0.00
bin.433_new	o__Clostridiales_(UID1212)	172	263	149	37	223	3	0	0	0	82.28	2.01	0.00
bin.284_new	c__Clostridia_(UID1118)	387	223	124	37	184	2	0	0	0	81.78	0.05	50.00
bin.428_new	o__Clostridiales_(UID1212)	172	263	149	40	222	1	0	0	0	81.70	0.22	0.00
bin.842_new	o__Clostridiales_(UID1226)	155	278	158	44	233	1	0	0	0	81.68	0.21	100.00
bin.276_new	k__Bacteria_(UID2329)	174	149	89	26	122	1	0	0	0	81.63	1.12	0.00
bin.188_new	f__Lachnospiraceae_(UID1256)	33	333	171	83	248	2	0	0	0	81.60	0.88	0.00
bin.404_new	c__Clostridia_(UID1118)	387	223	124	35	187	1	0	0	0	81.52	0.20	100.00
bin.613_new	k__Bacteria_(UID2328)	3167	126	75	24	91	11	0	0	0	81.27	1.31	100.00
bin.819_new	k__Bacteria_(UID2329)	174	149	89	36	112	1	0	0	0	81.04	1.12	0.00
bin.985_new	o__Clostridiales_(UID1212)	172	263	149	40	222	0	1	0	0	80.98	0.67	0.00
bin.495_new	c__Clostridia_(UID1118)	387	223	124	48	174	1	0	0	0	80.91	0.40	100.00
bin.988_new	c__Clostridia_(UID1085)	35	420	196	69	348	3	0	0	0	80.72	1.53	0.00
bin.359_new	c__Clostridia_(UID1118)	387	223	124	66	156	1	0	0	0	80.65	0.40	0.00
bin.173_new	k__Bacteria_(UID2329)	174	149	89	20	126	3	0	0	0	80.62	2.25	66.67
bin.905_new	c__Clostridia_(UID1118)	387	223	124	34	189	0	0	0	0	80.06	0.00	0.00
bin.722_new	c__Clostridia_(UID1118)	387	223	124	44	178	1	0	0	0	79.93	0.40	0.00
bin.501_new	o__Clostridiales_(UID1226)	155	278	158	84	192	2	0	0	0	79.88	0.95	0.00
bin.628_new	o__Clostridiales_(UID1212)	172	263	149	46	216	1	0	0	0	79.87	0.67	0.00
bin.780_new	c__Clostridia_(UID1118)	387	223	124	36	186	1	0	0	0	79.84	0.03	100.00
bin.697_new	f__Lachnospiraceae_(UID1256)	33	333	171	54	278	1	0	0	0	79.80	0.58	0.00
bin.87_new	c__Clostridia_(UID1118)	387	223	124	32	189	2	0	0	0	79.50	1.61	0.00
bin.396_new	k__Bacteria_(UID203)	5449	103	58	51	52	0	0	0	0	79.31	0.00	0.00
bin.1020_new	o__Clostridiales_(UID1212)	172	263	149	44	213	6	0	0	0	79.19	1.51	33.33
bin.44_new	c__Clostridia_(UID1118)	387	223	124	37	180	6	0	0	0	78.76	2.42	0.00
bin.1002_new	o__Clostridiales_(UID1212)	172	261	147	73	187	1	0	0	0	78.68	0.68	100.00
bin.595_new	k__Bacteria_(UID203)	5449	104	58	35	69	0	0	0	0	78.29	0.00	0.00
bin.372_new	c__Clostridia_(UID1118)	387	223	124	34	187	2	0	0	0	78.09	1.61	0.00
bin.685_new	o__Clostridiales_(UID1120)	304	249	142	81	165	3	0	0	0	77.95	1.29	66.67
bin.620_new	o__Clostridiales_(UID1375)	50	332	124	69	259	4	0	0	0	77.83	1.06	25.00
bin.1028_new	o__Clostridiales_(UID1120)	304	250	143	57	192	1	0	0	0	77.60	0.70	0.00
bin.397_new	o__Clostridiales_(UID1212)	172	263	149	53	207	3	0	0	0	77.53	1.51	33.33
bin.1045_new	o__Clostridiales_(UID1212)	172	263	149	81	180	2	0	0	0	77.34	0.73	50.00
bin.640_new	o__Clostridiales_(UID1212)	172	263	149	47	216	0	0	0	0	77.24	0.00	0.00
bin.178_new	o__Clostridiales_(UID1212)	172	263	149	45	214	4	0	0	0	77.00	0.94	0.00
bin.573_new	o__Clostridiales_(UID1212)	172	263	149	84	178	1	0	0	0	76.88	0.67	0.00
bin.923_new	o__Clostridiales_(UID1226)	155	278	158	52	225	1	0	0	0	76.79	0.63	100.00
bin.948_new	o__Clostridiales_(UID1212)	172	263	149	76	187	0	0	0	0	76.69	0.00	0.00
bin.770_new	o__Clostridiales_(UID1212)	172	263	149	48	212	3	0	0	0	76.56	0.96	33.33
